Episode 10/6000, Average Reward: 269.49
Episode 20/6000, Average Reward: 269.97
Episode 30/6000, Average Reward: 271.70
Episode 40/6000, Average Reward: 249.42
Episode 50/6000, Average Reward: 265.97
Episode 60/6000, Average Reward: 261.23
Episode 70/6000, Average Reward: 243.12
Episode 80/6000, Average Reward: 280.40
Episode 90/6000, Average Reward: 289.75
Episode 100/6000, Average Reward: 310.95
Episode 110/6000, Average Reward: 338.27
Episode 120/6000, Average Reward: 439.14
Episode 130/6000, Average Reward: 658.15
Episode 140/6000, Average Reward: 789.64
Episode 150/6000, Average Reward: 917.55
Episode 160/6000, Average Reward: 1031.73
Episode 170/6000, Average Reward: 1073.24
Episode 180/6000, Average Reward: 1077.58
Episode 190/6000, Average Reward: 1093.03
Episode 200/6000, Average Reward: 1137.76
Episode 210/6000, Average Reward: 1101.80
Episode 220/6000, Average Reward: 1137.74
Episode 230/6000, Average Reward: 1185.09
Episode 240/6000, Average Reward: 1153.15
Episode 250/6000, Average Reward: 1133.71
Episode 260/6000, Average Reward: 1123.62
Episode 270/6000, Average Reward: 1089.83
Episode 280/6000, Average Reward: 1100.39
Episode 290/6000, Average Reward: 1070.43
Episode 300/6000, Average Reward: 1091.78
Episode 310/6000, Average Reward: 1153.14
Episode 320/6000, Average Reward: 1116.04
Episode 330/6000, Average Reward: 1138.03
Episode 340/6000, Average Reward: 1163.80
Episode 350/6000, Average Reward: 1109.58
Episode 360/6000, Average Reward: 1123.57
Episode 370/6000, Average Reward: 1145.55
Episode 380/6000, Average Reward: 1144.53
Episode 390/6000, Average Reward: 1134.39
Episode 400/6000, Average Reward: 1104.19
Episode 410/6000, Average Reward: 1134.77
Episode 420/6000, Average Reward: 1136.73
Episode 430/6000, Average Reward: 1123.29
Episode 440/6000, Average Reward: 1123.63
Episode 450/6000, Average Reward: 1132.05
Episode 460/6000, Average Reward: 1148.47
Episode 470/6000, Average Reward: 1119.13
Episode 480/6000, Average Reward: 1133.45
Episode 490/6000, Average Reward: 1132.67
Episode 500/6000, Average Reward: 1177.71
Episode 510/6000, Average Reward: 1143.20
Episode 520/6000, Average Reward: 1121.17
Episode 530/6000, Average Reward: 1105.36
Episode 540/6000, Average Reward: 1156.10
Episode 550/6000, Average Reward: 1111.90
Episode 560/6000, Average Reward: 1106.17
Episode 570/6000, Average Reward: 1120.67
Episode 580/6000, Average Reward: 1137.16
Episode 590/6000, Average Reward: 1107.69
Episode 600/6000, Average Reward: 1118.58
Episode 610/6000, Average Reward: 1091.31
Episode 620/6000, Average Reward: 1102.00
Episode 630/6000, Average Reward: 1111.52
Episode 640/6000, Average Reward: 1144.09
Episode 650/6000, Average Reward: 1095.77
Episode 660/6000, Average Reward: 1140.05
Episode 670/6000, Average Reward: 1074.13
Episode 680/6000, Average Reward: 1112.24
Episode 690/6000, Average Reward: 1112.09
Episode 700/6000, Average Reward: 1113.87
Episode 710/6000, Average Reward: 1109.08
Episode 720/6000, Average Reward: 1109.34
Episode 730/6000, Average Reward: 1065.70
Episode 740/6000, Average Reward: 1081.35
Episode 750/6000, Average Reward: 1103.51
Episode 760/6000, Average Reward: 1089.33
Episode 770/6000, Average Reward: 1109.76
Episode 780/6000, Average Reward: 1066.53
Episode 790/6000, Average Reward: 1091.90
Episode 800/6000, Average Reward: 1040.40
Episode 810/6000, Average Reward: 1071.80
Episode 820/6000, Average Reward: 1055.58
Episode 830/6000, Average Reward: 1025.17
Episode 840/6000, Average Reward: 1046.00
Episode 850/6000, Average Reward: 1054.62
Episode 860/6000, Average Reward: 1046.43
Episode 870/6000, Average Reward: 1025.08
Episode 880/6000, Average Reward: 1023.82
Episode 890/6000, Average Reward: 1015.59
Episode 900/6000, Average Reward: 1076.59
Episode 910/6000, Average Reward: 1013.56
Episode 920/6000, Average Reward: 990.56
Episode 930/6000, Average Reward: 1011.07
Episode 940/6000, Average Reward: 970.36
Episode 950/6000, Average Reward: 976.91
Episode 960/6000, Average Reward: 949.64
Episode 970/6000, Average Reward: 1018.43
Episode 980/6000, Average Reward: 981.85
Episode 990/6000, Average Reward: 971.08
Episode 1000/6000, Average Reward: 942.22
Episode 1010/6000, Average Reward: 973.18
Episode 1020/6000, Average Reward: 992.12
Episode 1030/6000, Average Reward: 921.43
Episode 1040/6000, Average Reward: 885.50
Episode 1050/6000, Average Reward: 976.73
Episode 1060/6000, Average Reward: 928.14
Episode 1070/6000, Average Reward: 895.87
Episode 1080/6000, Average Reward: 882.90
Episode 1090/6000, Average Reward: 907.98
Episode 1100/6000, Average Reward: 869.40
Episode 1110/6000, Average Reward: 866.15
Episode 1120/6000, Average Reward: 850.10
Episode 1130/6000, Average Reward: 845.63
Episode 1140/6000, Average Reward: 869.97
Episode 1150/6000, Average Reward: 865.35
Episode 1160/6000, Average Reward: 768.85
Episode 1170/6000, Average Reward: 847.37
Episode 1180/6000, Average Reward: 822.47
Episode 1190/6000, Average Reward: 820.55
Episode 1200/6000, Average Reward: 827.68
Episode 1210/6000, Average Reward: 800.40
Episode 1220/6000, Average Reward: 797.48
Episode 1230/6000, Average Reward: 842.97
Episode 1240/6000, Average Reward: 733.73
Episode 1250/6000, Average Reward: 750.57
Episode 1260/6000, Average Reward: 809.30
Episode 1270/6000, Average Reward: 768.03
Episode 1280/6000, Average Reward: 740.97
Episode 1290/6000, Average Reward: 760.60
Episode 1300/6000, Average Reward: 845.49
Episode 1310/6000, Average Reward: 708.79
Episode 1320/6000, Average Reward: 735.54
Episode 1330/6000, Average Reward: 744.71
Episode 1340/6000, Average Reward: 734.78
Episode 1350/6000, Average Reward: 721.55
Episode 1360/6000, Average Reward: 749.14
Episode 1370/6000, Average Reward: 717.30
Episode 1380/6000, Average Reward: 745.93
Episode 1390/6000, Average Reward: 709.77
Episode 1400/6000, Average Reward: 744.96
Episode 1410/6000, Average Reward: 701.95
Episode 1420/6000, Average Reward: 719.76
Episode 1430/6000, Average Reward: 730.60
Episode 1440/6000, Average Reward: 713.85
Episode 1450/6000, Average Reward: 689.93
Episode 1460/6000, Average Reward: 769.26
Episode 1470/6000, Average Reward: 731.53
Episode 1480/6000, Average Reward: 748.49
Episode 1490/6000, Average Reward: 715.11
Episode 1500/6000, Average Reward: 689.12
Episode 1510/6000, Average Reward: 731.72
Episode 1520/6000, Average Reward: 728.19
Episode 1530/6000, Average Reward: 725.73
Episode 1540/6000, Average Reward: 665.08
Episode 1550/6000, Average Reward: 689.69
Episode 1560/6000, Average Reward: 714.06
Episode 1570/6000, Average Reward: 675.65
Episode 1580/6000, Average Reward: 724.92
Episode 1590/6000, Average Reward: 695.47
Episode 1600/6000, Average Reward: 670.83
Episode 1610/6000, Average Reward: 698.87
Episode 1620/6000, Average Reward: 699.50
Episode 1630/6000, Average Reward: 728.26
Episode 1640/6000, Average Reward: 689.52
Episode 1650/6000, Average Reward: 733.68
Episode 1660/6000, Average Reward: 692.40
Episode 1670/6000, Average Reward: 682.33
Episode 1680/6000, Average Reward: 675.26
Episode 1690/6000, Average Reward: 654.92
Episode 1700/6000, Average Reward: 678.20
Episode 1710/6000, Average Reward: 680.19
Episode 1720/6000, Average Reward: 743.34
Episode 1730/6000, Average Reward: 672.58
Episode 1740/6000, Average Reward: 681.40
Episode 1750/6000, Average Reward: 692.45
Episode 1760/6000, Average Reward: 693.94
Episode 1770/6000, Average Reward: 712.12
Episode 1780/6000, Average Reward: 737.15
Episode 1790/6000, Average Reward: 733.25
Episode 1800/6000, Average Reward: 701.35
Episode 1810/6000, Average Reward: 671.06
Episode 1820/6000, Average Reward: 718.07
Episode 1830/6000, Average Reward: 704.51
Episode 1840/6000, Average Reward: 739.76
Episode 1850/6000, Average Reward: 706.86
Episode 1860/6000, Average Reward: 717.24
Episode 1870/6000, Average Reward: 633.42
Episode 1880/6000, Average Reward: 693.99
Episode 1890/6000, Average Reward: 746.26
Episode 1900/6000, Average Reward: 635.62
Episode 1910/6000, Average Reward: 701.46
Episode 1920/6000, Average Reward: 738.85
Episode 1930/6000, Average Reward: 755.64
Episode 1940/6000, Average Reward: 700.01
Episode 1950/6000, Average Reward: 699.96
Episode 1960/6000, Average Reward: 765.05
Episode 1970/6000, Average Reward: 755.22
Episode 1980/6000, Average Reward: 737.84
Episode 1990/6000, Average Reward: 657.53
Episode 2000/6000, Average Reward: 690.29
Episode 2010/6000, Average Reward: 700.30
Episode 2020/6000, Average Reward: 729.49
Episode 2030/6000, Average Reward: 668.60
Episode 2040/6000, Average Reward: 709.87
Episode 2050/6000, Average Reward: 739.36
Episode 2060/6000, Average Reward: 723.86
Episode 2070/6000, Average Reward: 707.24
Episode 2080/6000, Average Reward: 760.48
Episode 2090/6000, Average Reward: 744.88
Episode 2100/6000, Average Reward: 743.50
Episode 2110/6000, Average Reward: 777.68
Episode 2120/6000, Average Reward: 766.01
Episode 2130/6000, Average Reward: 691.14
Episode 2140/6000, Average Reward: 754.37
Episode 2150/6000, Average Reward: 736.22
Episode 2160/6000, Average Reward: 724.81
Episode 2170/6000, Average Reward: 767.49
Episode 2180/6000, Average Reward: 797.27
Episode 2190/6000, Average Reward: 732.42
Episode 2200/6000, Average Reward: 705.82
Episode 2210/6000, Average Reward: 731.71
Episode 2220/6000, Average Reward: 816.35
Episode 2230/6000, Average Reward: 719.88
Episode 2240/6000, Average Reward: 739.69
Episode 2250/6000, Average Reward: 769.69
Episode 2260/6000, Average Reward: 767.59
Episode 2270/6000, Average Reward: 783.37
Episode 2280/6000, Average Reward: 747.32
Episode 2290/6000, Average Reward: 795.23
Episode 2300/6000, Average Reward: 764.69
Episode 2310/6000, Average Reward: 786.15
Episode 2320/6000, Average Reward: 832.33
Episode 2330/6000, Average Reward: 767.73
Episode 2340/6000, Average Reward: 788.87
Episode 2350/6000, Average Reward: 780.93
Episode 2360/6000, Average Reward: 763.47
Episode 2370/6000, Average Reward: 753.30
Episode 2380/6000, Average Reward: 769.69
Episode 2390/6000, Average Reward: 747.56
Episode 2400/6000, Average Reward: 787.66
Episode 2410/6000, Average Reward: 794.82
Episode 2420/6000, Average Reward: 850.08
Episode 2430/6000, Average Reward: 821.60
Episode 2440/6000, Average Reward: 818.65
Episode 2450/6000, Average Reward: 771.55
Episode 2460/6000, Average Reward: 814.99
Episode 2470/6000, Average Reward: 783.48
Episode 2480/6000, Average Reward: 848.77
Episode 2490/6000, Average Reward: 797.57
Episode 2500/6000, Average Reward: 830.08
Episode 2510/6000, Average Reward: 846.17
Episode 2520/6000, Average Reward: 837.28
Episode 2530/6000, Average Reward: 869.21
Episode 2540/6000, Average Reward: 877.06
Episode 2550/6000, Average Reward: 821.13
Episode 2560/6000, Average Reward: 889.89
Episode 2570/6000, Average Reward: 831.18
Episode 2580/6000, Average Reward: 896.37
Episode 2590/6000, Average Reward: 875.42
Episode 2600/6000, Average Reward: 888.83
Episode 2610/6000, Average Reward: 883.77
Episode 2620/6000, Average Reward: 898.31
Episode 2630/6000, Average Reward: 892.29
Episode 2640/6000, Average Reward: 867.98
Episode 2650/6000, Average Reward: 898.62
Episode 2660/6000, Average Reward: 882.14
Episode 2670/6000, Average Reward: 909.13
Episode 2680/6000, Average Reward: 934.42
Episode 2690/6000, Average Reward: 957.70
Episode 2700/6000, Average Reward: 896.42
Episode 2710/6000, Average Reward: 956.57
Episode 2720/6000, Average Reward: 899.62
Episode 2730/6000, Average Reward: 880.45
Episode 2740/6000, Average Reward: 906.30
Episode 2750/6000, Average Reward: 895.27
Episode 2760/6000, Average Reward: 913.38
Episode 2770/6000, Average Reward: 903.54
Episode 2780/6000, Average Reward: 885.97
Episode 2790/6000, Average Reward: 885.99
Episode 2800/6000, Average Reward: 891.15
Episode 2810/6000, Average Reward: 899.10
Episode 2820/6000, Average Reward: 857.83
Episode 2830/6000, Average Reward: 898.61
Episode 2840/6000, Average Reward: 895.74
Episode 2850/6000, Average Reward: 891.41
Episode 2860/6000, Average Reward: 860.84
Episode 2870/6000, Average Reward: 916.52
Episode 2880/6000, Average Reward: 915.54
Episode 2890/6000, Average Reward: 928.60
Episode 2900/6000, Average Reward: 923.32
Episode 2910/6000, Average Reward: 892.80
Episode 2920/6000, Average Reward: 950.01
Episode 2930/6000, Average Reward: 978.73
Episode 2940/6000, Average Reward: 915.51
Episode 2950/6000, Average Reward: 937.90
Episode 2960/6000, Average Reward: 929.66
Episode 2970/6000, Average Reward: 920.88
Episode 2980/6000, Average Reward: 933.54
Episode 2990/6000, Average Reward: 944.53
Episode 3000/6000, Average Reward: 985.24
Episode 3010/6000, Average Reward: 970.96
Episode 3020/6000, Average Reward: 984.69
Episode 3030/6000, Average Reward: 971.45
Episode 3040/6000, Average Reward: 955.06
Episode 3050/6000, Average Reward: 991.88
Episode 3060/6000, Average Reward: 978.02
Episode 3070/6000, Average Reward: 996.46
Episode 3080/6000, Average Reward: 1006.03
Episode 3090/6000, Average Reward: 1004.29
Episode 3100/6000, Average Reward: 966.33
Episode 3110/6000, Average Reward: 961.56
Episode 3120/6000, Average Reward: 991.46
Episode 3130/6000, Average Reward: 983.15
Episode 3140/6000, Average Reward: 994.59
Episode 3150/6000, Average Reward: 998.33
Episode 3160/6000, Average Reward: 995.37
Episode 3170/6000, Average Reward: 1009.75
Episode 3180/6000, Average Reward: 997.83
Episode 3190/6000, Average Reward: 958.29
Episode 3200/6000, Average Reward: 1032.20
Episode 3210/6000, Average Reward: 1013.14
Episode 3220/6000, Average Reward: 992.86
Episode 3230/6000, Average Reward: 966.45
Episode 3240/6000, Average Reward: 1029.43
Episode 3250/6000, Average Reward: 1016.50
Episode 3260/6000, Average Reward: 1004.13
Episode 3270/6000, Average Reward: 1023.91
Episode 3280/6000, Average Reward: 1020.76
Episode 3290/6000, Average Reward: 988.50
Episode 3300/6000, Average Reward: 994.24
Episode 3310/6000, Average Reward: 994.88
Episode 3320/6000, Average Reward: 997.81
Episode 3330/6000, Average Reward: 1007.26
Episode 3340/6000, Average Reward: 993.88
Episode 3350/6000, Average Reward: 992.17
Episode 3360/6000, Average Reward: 1003.26
Episode 3370/6000, Average Reward: 999.40
Episode 3380/6000, Average Reward: 961.81
Episode 3390/6000, Average Reward: 979.55
Episode 3400/6000, Average Reward: 1010.09
Episode 3410/6000, Average Reward: 987.04
Episode 3420/6000, Average Reward: 990.96
Episode 3430/6000, Average Reward: 1003.48
Episode 3440/6000, Average Reward: 1008.42
Episode 3450/6000, Average Reward: 985.07
Episode 3460/6000, Average Reward: 1001.37
Episode 3470/6000, Average Reward: 975.06
Episode 3480/6000, Average Reward: 1006.39
Episode 3490/6000, Average Reward: 972.00
Episode 3500/6000, Average Reward: 962.55
Episode 3510/6000, Average Reward: 972.07
Episode 3520/6000, Average Reward: 1000.35
Episode 3530/6000, Average Reward: 1004.64
Episode 3540/6000, Average Reward: 1013.61
Episode 3550/6000, Average Reward: 1003.34
Episode 3560/6000, Average Reward: 1027.33
Episode 3570/6000, Average Reward: 978.46
Episode 3580/6000, Average Reward: 1021.73
Episode 3590/6000, Average Reward: 1014.18
Episode 3600/6000, Average Reward: 1000.56
Episode 3610/6000, Average Reward: 1010.25
Episode 3620/6000, Average Reward: 1033.94
Episode 3630/6000, Average Reward: 1022.97
Episode 3640/6000, Average Reward: 1052.27
Episode 3650/6000, Average Reward: 1033.44
Episode 3660/6000, Average Reward: 1054.82
Episode 3670/6000, Average Reward: 1035.62
Episode 3680/6000, Average Reward: 994.10
Episode 3690/6000, Average Reward: 1010.53
Episode 3700/6000, Average Reward: 1028.20
Episode 3710/6000, Average Reward: 989.67
Episode 3720/6000, Average Reward: 1033.14
Episode 3730/6000, Average Reward: 1003.33
Episode 3740/6000, Average Reward: 1004.34
Episode 3750/6000, Average Reward: 993.52
Episode 3760/6000, Average Reward: 1017.73
Episode 3770/6000, Average Reward: 1009.44
Episode 3780/6000, Average Reward: 1029.43
Episode 3790/6000, Average Reward: 1012.04
Episode 3800/6000, Average Reward: 1021.00
Episode 3810/6000, Average Reward: 1019.83
Episode 3820/6000, Average Reward: 1025.35
Episode 3830/6000, Average Reward: 1028.20
Episode 3840/6000, Average Reward: 1019.24
Episode 3850/6000, Average Reward: 1014.81
Episode 3860/6000, Average Reward: 1019.17
Episode 3870/6000, Average Reward: 1023.10
Episode 3880/6000, Average Reward: 1028.12
Episode 3890/6000, Average Reward: 1021.42
Episode 3900/6000, Average Reward: 1014.15
Episode 3910/6000, Average Reward: 1034.66
Episode 3920/6000, Average Reward: 997.57
Episode 3930/6000, Average Reward: 1016.99
Episode 3940/6000, Average Reward: 1016.99
Episode 3950/6000, Average Reward: 1032.48
Episode 3960/6000, Average Reward: 1068.48
Episode 3970/6000, Average Reward: 1088.99
Episode 3980/6000, Average Reward: 1099.53
Episode 3990/6000, Average Reward: 1111.16
Episode 4000/6000, Average Reward: 1107.53
Episode 4010/6000, Average Reward: 1106.95
Episode 4020/6000, Average Reward: 1098.44
Episode 4030/6000, Average Reward: 1098.44
Episode 4040/6000, Average Reward: 1121.71
Episode 4050/6000, Average Reward: 1103.89
Episode 4060/6000, Average Reward: 1095.10
Episode 4070/6000, Average Reward: 1094.44
Episode 4080/6000, Average Reward: 1101.21
Episode 4090/6000, Average Reward: 1073.50
Episode 4100/6000, Average Reward: 1087.62
Episode 4110/6000, Average Reward: 1089.07
Episode 4120/6000, Average Reward: 1102.38
Episode 4130/6000, Average Reward: 1090.30
Episode 4140/6000, Average Reward: 1112.84
Episode 4150/6000, Average Reward: 1088.79
Episode 4160/6000, Average Reward: 1088.05
Episode 4170/6000, Average Reward: 1105.14
Episode 4180/6000, Average Reward: 1094.68
Episode 4190/6000, Average Reward: 1085.94
Episode 4200/6000, Average Reward: 1106.23
Episode 4210/6000, Average Reward: 1110.67
Episode 4220/6000, Average Reward: 1121.85
Episode 4230/6000, Average Reward: 1112.47
Episode 4240/6000, Average Reward: 1117.50
Episode 4250/6000, Average Reward: 1096.21
Episode 4260/6000, Average Reward: 1112.12
Episode 4270/6000, Average Reward: 1088.65
