Episode 10/1000, Average Reward: 525.90, Epsilon: 0.04
Episode 20/1000, Average Reward: 899.34, Epsilon: 0.01
Episode 30/1000, Average Reward: 753.23, Epsilon: 0.01
Episode 40/1000, Average Reward: 845.03, Epsilon: 0.01
Episode 50/1000, Average Reward: 840.87, Epsilon: 0.01
Episode 60/1000, Average Reward: 793.52, Epsilon: 0.01
Episode 70/1000, Average Reward: 805.78, Epsilon: 0.01
Episode 80/1000, Average Reward: 793.14, Epsilon: 0.01
Episode 90/1000, Average Reward: 721.60, Epsilon: 0.01
Episode 100/1000, Average Reward: 708.68, Epsilon: 0.01
Episode 110/1000, Average Reward: 809.55, Epsilon: 0.01
Episode 120/1000, Average Reward: 738.20, Epsilon: 0.01
Episode 130/1000, Average Reward: 789.43, Epsilon: 0.01
Episode 140/1000, Average Reward: 729.03, Epsilon: 0.01
Episode 150/1000, Average Reward: 766.13, Epsilon: 0.01
Episode 160/1000, Average Reward: 763.75, Epsilon: 0.01
Episode 170/1000, Average Reward: 744.22, Epsilon: 0.01
Episode 180/1000, Average Reward: 777.41, Epsilon: 0.01
Episode 190/1000, Average Reward: 740.28, Epsilon: 0.01
Episode 200/1000, Average Reward: 745.26, Epsilon: 0.01
Episode 210/1000, Average Reward: 737.48, Epsilon: 0.01
Episode 220/1000, Average Reward: 748.60, Epsilon: 0.01
Episode 230/1000, Average Reward: 781.79, Epsilon: 0.01
Episode 240/1000, Average Reward: 839.80, Epsilon: 0.01
Episode 250/1000, Average Reward: 819.70, Epsilon: 0.01
Episode 260/1000, Average Reward: 809.45, Epsilon: 0.01
Episode 270/1000, Average Reward: 802.66, Epsilon: 0.01
Episode 280/1000, Average Reward: 814.79, Epsilon: 0.01
Episode 290/1000, Average Reward: 820.78, Epsilon: 0.01
Episode 300/1000, Average Reward: 837.02, Epsilon: 0.01
Episode 310/1000, Average Reward: 843.20, Epsilon: 0.01
Episode 320/1000, Average Reward: 763.79, Epsilon: 0.01
Episode 330/1000, Average Reward: 857.97, Epsilon: 0.01
Episode 340/1000, Average Reward: 787.10, Epsilon: 0.01
Episode 350/1000, Average Reward: 800.26, Epsilon: 0.01
Episode 360/1000, Average Reward: 829.77, Epsilon: 0.01
Episode 370/1000, Average Reward: 765.72, Epsilon: 0.01
Episode 380/1000, Average Reward: 808.98, Epsilon: 0.01
Episode 390/1000, Average Reward: 822.14, Epsilon: 0.01
Episode 400/1000, Average Reward: 781.48, Epsilon: 0.01
Episode 410/1000, Average Reward: 816.86, Epsilon: 0.01
Episode 420/1000, Average Reward: 821.62, Epsilon: 0.01
Episode 430/1000, Average Reward: 835.96, Epsilon: 0.01
Episode 440/1000, Average Reward: 819.98, Epsilon: 0.01
Episode 450/1000, Average Reward: 829.00, Epsilon: 0.01
Episode 460/1000, Average Reward: 893.69, Epsilon: 0.01
Episode 470/1000, Average Reward: 859.81, Epsilon: 0.01
Episode 480/1000, Average Reward: 822.03, Epsilon: 0.01
Episode 490/1000, Average Reward: 869.42, Epsilon: 0.01
Episode 500/1000, Average Reward: 883.54, Epsilon: 0.01
Episode 510/1000, Average Reward: 867.75, Epsilon: 0.01
Episode 520/1000, Average Reward: 856.53, Epsilon: 0.01
Episode 530/1000, Average Reward: 811.84, Epsilon: 0.01
Episode 540/1000, Average Reward: 843.11, Epsilon: 0.01
Episode 550/1000, Average Reward: 772.94, Epsilon: 0.01
Episode 560/1000, Average Reward: 740.56, Epsilon: 0.01
Episode 570/1000, Average Reward: 686.26, Epsilon: 0.01
Episode 580/1000, Average Reward: 662.95, Epsilon: 0.01
Episode 590/1000, Average Reward: 687.71, Epsilon: 0.01
Episode 600/1000, Average Reward: 664.04, Epsilon: 0.01
Episode 610/1000, Average Reward: 692.38, Epsilon: 0.01
Episode 620/1000, Average Reward: 712.41, Epsilon: 0.01
Episode 630/1000, Average Reward: 706.57, Epsilon: 0.01
Episode 640/1000, Average Reward: 719.10, Epsilon: 0.01
