Episode 10/6000, Average Reward: 255.52
Episode 20/6000, Average Reward: 274.69
Episode 30/6000, Average Reward: 271.93
Episode 40/6000, Average Reward: 261.10
Episode 50/6000, Average Reward: 266.31
Episode 60/6000, Average Reward: 308.70
Episode 70/6000, Average Reward: 263.44
Episode 80/6000, Average Reward: 273.45
Episode 90/6000, Average Reward: 257.65
Episode 100/6000, Average Reward: 276.84
Episode 110/6000, Average Reward: 254.63
Episode 120/6000, Average Reward: 264.14
Episode 130/6000, Average Reward: 270.34
Episode 140/6000, Average Reward: 239.67
Episode 150/6000, Average Reward: 255.12
Episode 160/6000, Average Reward: 270.90
Episode 170/6000, Average Reward: 268.90
Episode 180/6000, Average Reward: 261.71
Episode 190/6000, Average Reward: 254.62
Episode 200/6000, Average Reward: 244.61
Episode 210/6000, Average Reward: 275.31
Episode 220/6000, Average Reward: 290.21
Episode 230/6000, Average Reward: 283.84
Episode 240/6000, Average Reward: 275.16
Episode 250/6000, Average Reward: 259.48
Episode 260/6000, Average Reward: 233.43
Episode 270/6000, Average Reward: 248.74
Episode 280/6000, Average Reward: 280.82
Episode 290/6000, Average Reward: 279.01
Episode 300/6000, Average Reward: 278.14
Episode 310/6000, Average Reward: 274.02
Episode 320/6000, Average Reward: 260.91
Episode 330/6000, Average Reward: 281.27
Episode 340/6000, Average Reward: 300.81
Episode 350/6000, Average Reward: 253.56
Episode 360/6000, Average Reward: 271.61
Episode 370/6000, Average Reward: 263.20
Episode 380/6000, Average Reward: 269.97
Episode 390/6000, Average Reward: 259.07
Episode 400/6000, Average Reward: 261.41
Episode 410/6000, Average Reward: 269.96
Episode 420/6000, Average Reward: 283.57
Episode 430/6000, Average Reward: 240.42
Episode 440/6000, Average Reward: 273.00
Episode 450/6000, Average Reward: 298.56
Episode 460/6000, Average Reward: 270.97
Episode 470/6000, Average Reward: 265.84
Episode 480/6000, Average Reward: 280.95
Episode 490/6000, Average Reward: 269.06
Episode 500/6000, Average Reward: 290.28
Episode 510/6000, Average Reward: 259.92
Episode 520/6000, Average Reward: 279.99
Episode 530/6000, Average Reward: 299.26
Episode 540/6000, Average Reward: 295.40
Episode 550/6000, Average Reward: 267.59
Episode 560/6000, Average Reward: 282.38
Episode 570/6000, Average Reward: 291.83
Episode 580/6000, Average Reward: 312.84
Episode 590/6000, Average Reward: 304.61
Episode 600/6000, Average Reward: 284.25
Episode 610/6000, Average Reward: 283.47
Episode 620/6000, Average Reward: 281.29
Episode 630/6000, Average Reward: 270.12
Episode 640/6000, Average Reward: 296.28
Episode 650/6000, Average Reward: 272.89
Episode 660/6000, Average Reward: 303.41
Episode 670/6000, Average Reward: 268.96
Episode 680/6000, Average Reward: 273.16
Episode 690/6000, Average Reward: 291.54
Episode 700/6000, Average Reward: 301.20
Episode 710/6000, Average Reward: 284.08
Episode 720/6000, Average Reward: 309.74
Episode 730/6000, Average Reward: 299.93
Episode 740/6000, Average Reward: 312.28
Episode 750/6000, Average Reward: 319.30
Episode 760/6000, Average Reward: 278.29
Episode 770/6000, Average Reward: 322.00
Episode 780/6000, Average Reward: 293.62
Episode 790/6000, Average Reward: 297.86
Episode 800/6000, Average Reward: 324.76
Episode 810/6000, Average Reward: 306.99
Episode 820/6000, Average Reward: 319.28
Episode 830/6000, Average Reward: 353.57
Episode 840/6000, Average Reward: 301.88
Episode 850/6000, Average Reward: 326.31
Episode 860/6000, Average Reward: 322.28
Episode 870/6000, Average Reward: 372.40
Episode 880/6000, Average Reward: 350.58
Episode 890/6000, Average Reward: 363.70
Episode 900/6000, Average Reward: 333.83
Episode 910/6000, Average Reward: 314.66
Episode 920/6000, Average Reward: 321.96
Episode 930/6000, Average Reward: 371.62
Episode 940/6000, Average Reward: 334.31
Episode 950/6000, Average Reward: 344.86
Episode 960/6000, Average Reward: 338.20
Episode 970/6000, Average Reward: 375.96
Episode 980/6000, Average Reward: 330.92
Episode 990/6000, Average Reward: 395.01
Episode 1000/6000, Average Reward: 375.98
Episode 1010/6000, Average Reward: 375.81
Episode 1020/6000, Average Reward: 412.59
Episode 1030/6000, Average Reward: 434.82
Episode 1040/6000, Average Reward: 362.06
Episode 1050/6000, Average Reward: 403.27
Episode 1060/6000, Average Reward: 404.66
Episode 1070/6000, Average Reward: 382.29
Episode 1080/6000, Average Reward: 364.39
Episode 1090/6000, Average Reward: 318.94
Episode 1100/6000, Average Reward: 362.13
Episode 1110/6000, Average Reward: 405.18
Episode 1120/6000, Average Reward: 365.17
Episode 1130/6000, Average Reward: 407.15
Episode 1140/6000, Average Reward: 378.33
Episode 1150/6000, Average Reward: 357.10
Episode 1160/6000, Average Reward: 362.17
Episode 1170/6000, Average Reward: 346.38
Episode 1180/6000, Average Reward: 375.47
Episode 1190/6000, Average Reward: 389.31
Episode 1200/6000, Average Reward: 435.88
Episode 1210/6000, Average Reward: 427.64
Episode 1220/6000, Average Reward: 423.71
Episode 1230/6000, Average Reward: 340.84
Episode 1240/6000, Average Reward: 399.76
Episode 1250/6000, Average Reward: 387.33
Episode 1260/6000, Average Reward: 376.86
Episode 1270/6000, Average Reward: 388.71
Episode 1280/6000, Average Reward: 383.69
Episode 1290/6000, Average Reward: 419.45
Episode 1300/6000, Average Reward: 386.79
Episode 1310/6000, Average Reward: 417.81
Episode 1320/6000, Average Reward: 399.02
Episode 1330/6000, Average Reward: 424.54
Episode 1340/6000, Average Reward: 369.80
Episode 1350/6000, Average Reward: 402.24
Episode 1360/6000, Average Reward: 413.21
Episode 1370/6000, Average Reward: 394.90
Episode 1380/6000, Average Reward: 372.93
Episode 1390/6000, Average Reward: 387.17
Episode 1400/6000, Average Reward: 403.02
Episode 1410/6000, Average Reward: 378.52
Episode 1420/6000, Average Reward: 377.56
Episode 1430/6000, Average Reward: 413.70
Episode 1440/6000, Average Reward: 388.35
Episode 1450/6000, Average Reward: 378.23
Episode 1460/6000, Average Reward: 327.85
Episode 1470/6000, Average Reward: 359.90
Episode 1480/6000, Average Reward: 331.81
Episode 1490/6000, Average Reward: 400.26
Episode 1500/6000, Average Reward: 432.96
Episode 1510/6000, Average Reward: 378.40
Episode 1520/6000, Average Reward: 383.75
Episode 1530/6000, Average Reward: 393.56
Episode 1540/6000, Average Reward: 415.56
Episode 1550/6000, Average Reward: 383.74
Episode 1560/6000, Average Reward: 403.67
Episode 1570/6000, Average Reward: 401.49
Episode 1580/6000, Average Reward: 346.39
Episode 1590/6000, Average Reward: 363.22
Episode 1600/6000, Average Reward: 396.60
Episode 1610/6000, Average Reward: 398.99
Episode 1620/6000, Average Reward: 380.89
Episode 1630/6000, Average Reward: 395.94
Episode 1640/6000, Average Reward: 412.71
Episode 1650/6000, Average Reward: 375.13
Episode 1660/6000, Average Reward: 375.12
Episode 1670/6000, Average Reward: 397.22
Episode 1680/6000, Average Reward: 414.71
Episode 1690/6000, Average Reward: 410.22
Episode 1700/6000, Average Reward: 415.70
Episode 1710/6000, Average Reward: 378.10
Episode 1720/6000, Average Reward: 427.98
Episode 1730/6000, Average Reward: 380.38
Episode 1740/6000, Average Reward: 352.22
Episode 1750/6000, Average Reward: 379.03
Episode 1760/6000, Average Reward: 363.16
Episode 1770/6000, Average Reward: 379.60
Episode 1780/6000, Average Reward: 394.37
Episode 1790/6000, Average Reward: 361.11
Episode 1800/6000, Average Reward: 345.17
Episode 1810/6000, Average Reward: 389.03
Episode 1820/6000, Average Reward: 388.65
Episode 1830/6000, Average Reward: 369.09
Episode 1840/6000, Average Reward: 390.85
Episode 1850/6000, Average Reward: 359.95
Episode 1860/6000, Average Reward: 383.48
Episode 1870/6000, Average Reward: 411.79
Episode 1880/6000, Average Reward: 405.89
Episode 1890/6000, Average Reward: 398.20
Episode 1900/6000, Average Reward: 425.87
Episode 1910/6000, Average Reward: 426.12
Episode 1920/6000, Average Reward: 406.49
Episode 1930/6000, Average Reward: 427.53
Episode 1940/6000, Average Reward: 411.45
Episode 1950/6000, Average Reward: 424.65
Episode 1960/6000, Average Reward: 405.40
Episode 1970/6000, Average Reward: 444.88
Episode 1980/6000, Average Reward: 437.78
Episode 1990/6000, Average Reward: 415.03
Episode 2000/6000, Average Reward: 419.81
Episode 2010/6000, Average Reward: 402.10
Episode 2020/6000, Average Reward: 403.21
Episode 2030/6000, Average Reward: 401.85
Episode 2040/6000, Average Reward: 379.81
Episode 2050/6000, Average Reward: 404.13
Episode 2060/6000, Average Reward: 427.55
Episode 2070/6000, Average Reward: 396.85
Episode 2080/6000, Average Reward: 414.80
Episode 2090/6000, Average Reward: 382.21
Episode 2100/6000, Average Reward: 399.47
Episode 2110/6000, Average Reward: 371.80
Episode 2120/6000, Average Reward: 369.12
Episode 2130/6000, Average Reward: 399.58
Episode 2140/6000, Average Reward: 363.99
Episode 2150/6000, Average Reward: 364.78
Episode 2160/6000, Average Reward: 377.68
Episode 2170/6000, Average Reward: 350.86
Episode 2180/6000, Average Reward: 371.28
Episode 2190/6000, Average Reward: 362.26
Episode 2200/6000, Average Reward: 384.06
Episode 2210/6000, Average Reward: 346.21
Episode 2220/6000, Average Reward: 355.05
