Episode 10/6000, Average Reward: 256.06
Episode 20/6000, Average Reward: 282.63
Episode 30/6000, Average Reward: 237.54
Episode 40/6000, Average Reward: 270.54
Episode 50/6000, Average Reward: 257.86
Episode 60/6000, Average Reward: 275.10
Episode 70/6000, Average Reward: 299.05
Episode 80/6000, Average Reward: 285.60
Episode 90/6000, Average Reward: 257.98
Episode 100/6000, Average Reward: 236.32
Episode 110/6000, Average Reward: 271.36
Episode 120/6000, Average Reward: 254.02
Episode 130/6000, Average Reward: 286.07
Episode 140/6000, Average Reward: 305.39
Episode 150/6000, Average Reward: 275.97
Episode 160/6000, Average Reward: 261.53
Episode 170/6000, Average Reward: 263.70
Episode 180/6000, Average Reward: 295.47
Episode 190/6000, Average Reward: 258.99
Episode 200/6000, Average Reward: 256.56
Episode 210/6000, Average Reward: 261.56
Episode 220/6000, Average Reward: 272.18
Episode 230/6000, Average Reward: 276.05
Episode 240/6000, Average Reward: 262.78
Episode 250/6000, Average Reward: 265.12
Episode 260/6000, Average Reward: 250.51
Episode 270/6000, Average Reward: 270.36
Episode 280/6000, Average Reward: 270.82
Episode 290/6000, Average Reward: 251.20
Episode 300/6000, Average Reward: 255.75
Episode 310/6000, Average Reward: 280.64
Episode 320/6000, Average Reward: 254.33
Episode 330/6000, Average Reward: 274.09
Episode 340/6000, Average Reward: 267.50
Episode 350/6000, Average Reward: 257.50
Episode 360/6000, Average Reward: 234.12
Episode 370/6000, Average Reward: 294.74
Episode 380/6000, Average Reward: 256.24
Episode 390/6000, Average Reward: 247.67
Episode 400/6000, Average Reward: 274.57
Episode 410/6000, Average Reward: 275.40
Episode 420/6000, Average Reward: 267.13
Episode 430/6000, Average Reward: 260.38
Episode 440/6000, Average Reward: 274.95
Episode 450/6000, Average Reward: 291.70
Episode 460/6000, Average Reward: 266.74
Episode 470/6000, Average Reward: 263.25
Episode 480/6000, Average Reward: 245.80
Episode 490/6000, Average Reward: 286.19
Episode 500/6000, Average Reward: 278.01
Episode 510/6000, Average Reward: 257.64
Episode 520/6000, Average Reward: 262.48
Episode 530/6000, Average Reward: 252.85
Episode 540/6000, Average Reward: 271.77
Episode 550/6000, Average Reward: 266.94
Episode 560/6000, Average Reward: 256.29
Episode 570/6000, Average Reward: 264.19
Episode 580/6000, Average Reward: 308.49
Episode 590/6000, Average Reward: 269.77
Episode 600/6000, Average Reward: 271.06
Episode 610/6000, Average Reward: 263.44
Episode 620/6000, Average Reward: 276.78
Episode 630/6000, Average Reward: 280.20
Episode 640/6000, Average Reward: 284.27
Episode 650/6000, Average Reward: 265.95
Episode 660/6000, Average Reward: 278.52
Episode 670/6000, Average Reward: 277.26
Episode 680/6000, Average Reward: 259.23
Episode 690/6000, Average Reward: 268.38
Episode 700/6000, Average Reward: 272.75
Episode 710/6000, Average Reward: 300.96
Episode 720/6000, Average Reward: 293.44
Episode 730/6000, Average Reward: 280.06
Episode 740/6000, Average Reward: 269.59
Episode 750/6000, Average Reward: 299.11
Episode 760/6000, Average Reward: 288.74
Episode 770/6000, Average Reward: 315.35
Episode 780/6000, Average Reward: 287.21
Episode 790/6000, Average Reward: 306.26
Episode 800/6000, Average Reward: 294.95
Episode 810/6000, Average Reward: 308.98
Episode 820/6000, Average Reward: 295.19
Episode 830/6000, Average Reward: 336.40
Episode 840/6000, Average Reward: 365.12
Episode 850/6000, Average Reward: 381.45
Episode 860/6000, Average Reward: 480.42
Episode 870/6000, Average Reward: 449.04
Episode 880/6000, Average Reward: 492.79
Episode 890/6000, Average Reward: 519.58
Episode 900/6000, Average Reward: 569.96
Episode 910/6000, Average Reward: 538.43
Episode 920/6000, Average Reward: 545.03
Episode 930/6000, Average Reward: 536.15
Episode 940/6000, Average Reward: 643.95
Episode 950/6000, Average Reward: 667.28
Episode 960/6000, Average Reward: 577.87
Episode 970/6000, Average Reward: 645.16
Episode 980/6000, Average Reward: 576.53
Episode 990/6000, Average Reward: 603.23
Episode 1000/6000, Average Reward: 648.15
Episode 1010/6000, Average Reward: 603.01
Episode 1020/6000, Average Reward: 572.32
Episode 1030/6000, Average Reward: 575.41
Episode 1040/6000, Average Reward: 530.29
Episode 1050/6000, Average Reward: 504.92
Episode 1060/6000, Average Reward: 494.58
Episode 1070/6000, Average Reward: 499.68
Episode 1080/6000, Average Reward: 471.89
Episode 1090/6000, Average Reward: 454.80
Episode 1100/6000, Average Reward: 437.59
Episode 1110/6000, Average Reward: 449.53
Episode 1120/6000, Average Reward: 469.03
Episode 1130/6000, Average Reward: 450.46
Episode 1140/6000, Average Reward: 482.36
Episode 1150/6000, Average Reward: 422.28
Episode 1160/6000, Average Reward: 419.91
Episode 1170/6000, Average Reward: 433.07
Episode 1180/6000, Average Reward: 371.71
Episode 1190/6000, Average Reward: 402.10
Episode 1200/6000, Average Reward: 379.36
Episode 1210/6000, Average Reward: 303.95
Episode 1220/6000, Average Reward: 330.20
Episode 1230/6000, Average Reward: 329.18
Episode 1240/6000, Average Reward: 365.01
Episode 1250/6000, Average Reward: 352.23
Episode 1260/6000, Average Reward: 331.13
Episode 1270/6000, Average Reward: 323.40
Episode 1280/6000, Average Reward: 316.74
Episode 1290/6000, Average Reward: 337.82
Episode 1300/6000, Average Reward: 318.25
Episode 1310/6000, Average Reward: 347.33
Episode 1320/6000, Average Reward: 341.17
Episode 1330/6000, Average Reward: 354.56
Episode 1340/6000, Average Reward: 306.94
Episode 1350/6000, Average Reward: 312.99
Episode 1360/6000, Average Reward: 324.61
Episode 1370/6000, Average Reward: 318.16
Episode 1380/6000, Average Reward: 328.81
Episode 1390/6000, Average Reward: 291.13
Episode 1400/6000, Average Reward: 325.76
Episode 1410/6000, Average Reward: 321.82
Episode 1420/6000, Average Reward: 319.57
Episode 1430/6000, Average Reward: 324.01
Episode 1440/6000, Average Reward: 359.60
Episode 1450/6000, Average Reward: 358.51
Episode 1460/6000, Average Reward: 410.34
Episode 1470/6000, Average Reward: 383.01
Episode 1480/6000, Average Reward: 355.21
Episode 1490/6000, Average Reward: 337.66
Episode 1500/6000, Average Reward: 335.93
Episode 1510/6000, Average Reward: 307.35
Episode 1520/6000, Average Reward: 321.36
Episode 1530/6000, Average Reward: 296.54
Episode 1540/6000, Average Reward: 306.26
Episode 1550/6000, Average Reward: 305.07
Episode 1560/6000, Average Reward: 322.04
Episode 1570/6000, Average Reward: 337.92
Episode 1580/6000, Average Reward: 326.34
Episode 1590/6000, Average Reward: 331.53
Episode 1600/6000, Average Reward: 335.87
Episode 1610/6000, Average Reward: 333.37
Episode 1620/6000, Average Reward: 433.61
Episode 1630/6000, Average Reward: 368.10
Episode 1640/6000, Average Reward: 401.89
Episode 1650/6000, Average Reward: 425.21
Episode 1660/6000, Average Reward: 412.52
Episode 1670/6000, Average Reward: 401.22
Episode 1680/6000, Average Reward: 399.37
Episode 1690/6000, Average Reward: 425.92
Episode 1700/6000, Average Reward: 408.64
Episode 1710/6000, Average Reward: 376.62
Episode 1720/6000, Average Reward: 415.06
Episode 1730/6000, Average Reward: 386.34
Episode 1740/6000, Average Reward: 404.63
Episode 1750/6000, Average Reward: 381.12
Episode 1760/6000, Average Reward: 409.78
Episode 1770/6000, Average Reward: 399.87
Episode 1780/6000, Average Reward: 361.94
Episode 1790/6000, Average Reward: 405.26
Episode 1800/6000, Average Reward: 375.16
Episode 1810/6000, Average Reward: 419.86
Episode 1820/6000, Average Reward: 431.96
Episode 1830/6000, Average Reward: 481.23
Episode 1840/6000, Average Reward: 517.09
